BUKU,BAB,PASAL,ISI_PASAL,SUB_KLASIFIKASI
,BAB II,Pasal 18,"(1)  Pidana kurungan paling sedikit satu hari dan paling lama satu tahun. (2)  Jika ada pidana yang disebabkan karena perbarengan atau pengulangan atau karena ketentuan pasal 52, pidana kurungan dapat ditambah menjadi satu tahun empat bulan. (3)  Pidana kurungan sekali-kali tidak boleh lebih dari satu tahun empat bulan.",tidak-diketahui
,BAB II,Pasal 19,"(1)  Orang yang dijatuhi pidana kurungan wajib menjalankan pekerjaan yang dibebankan kepadanya, sesuai dengan aturan-aturan pelaksanaan pasal 29. (2)  Ia diserahi pekerjaan yang lebih ringan daripada orang yang dijatuhi pidana penjara.",tidak-diketahui
,BAB II,Pasal 20,"(1)  Hakim yang menjatuhkan pidana penjara atau pidana kurungan paling lama satu bulan, boleh menetapkan bahwa jaksa dapat mengizinkan terpidana bergerak dengan bebas di luar penjara sehabis waktu kerja. (2)  Jika terpidana yang mendapat kebe basan itu mendapat kebebasan itu tidak datang pada waktu dan tempat yang telah ditentukan untuk menjalani pekerjaan yang dibebankan kepadanya, maka ia harus Biro Hukum dan Humas Badan Urusan Administrasi Mahkamah Agung-RI /g3/g3  menjalani pidananya seperti biasa kecuali kalau tidak datangnya itu bukan karena kehendak sendiri. (3)  Ketentuan dalam ayat 1 tidak diterapkan kepada terpidana karena terpidana jika pada waktu melakukan tindak pidana belum ada dua tahun sejak ia habis menjalani pidana penjara atau pidana kurungan.",tidak-diketahui
,BAB II,Pasal 21,"Pidana kurungan harus dijalani dalam daerah dimana si terpidana berdiam ketika putusan hakim dijalankan, atau jika tidak punya tempat kediaman, di dalam daerah dimana ia berada, ke cuali kalau Menteri Kehakiman atas permintaannya terpidana membolehkan me njalani pidananya di daerah lain.",tidak-diketahui
,BAB II,Pasal 22,"(1)  Terpidana yang sedang menjalani pi dana hilang kemerdekaan di suatu tempat yang digunakan untuk menjalani pidana penjara, atau pidana kurungan, atau kedua-duanya, segera sehabis pidana habis hilang kemerdekaan itu selesai, kalau diminta, boleh menjalani kurungan di tempat itu juga. (2)  Pidana kurungan karena sebab di atas dijalani di tempat yang khusus untuk menjalani pidana penjara, tidak berubah sifatnya oleh karena itu.",tidak-diketahui
,BAB II,Pasal 23,"Orang yang dijatuhi pidana kurungan , dengan biaya sendiri boleh sekedar meringankan nasibnya menurut aturan-aturan yang akan ditetapkan dengan undang-undang.",tidak-diketahui
,BAB II,Pasal 24,Orang yang dijatuhi pidana penjara at au pidana kurungan boleh diwajibkan bekerja di dalam atau di luar temb ok tempat orang-orang terpidana.,tidak-diketahui
,BAB II,Pasal 25,Yang tidak boleh diserahi pekerjaan di luar tembok tempat tersebut ialah : 1. Orang-orang yang di jatuhi pidana penjara seumur hidup; 2. Para wanita; 3. Orang-orang yang menurut pemeriksaan dokter tidak boleh menjalankan pekerjaan demikian.,tidak-diketahui
,BAB II,Pasal 26,"Jikalau mengingat keadaan diri atau masyarakat terpidana, hakim menimbang ada alasan, maka dalam putusan dite ntukan bahwa terpidana tidak boleh diwajibkan bekerja di luar tembok tempat orang-orang terpidana.",tidak-diketahui
,BAB II,Pasal 27,"Biro Hukum dan Humas Badan Urusan Administrasi Mahkamah Agung-RI /g3/g3  Lamanya pidana penjara untuk waktu tertentu dan pidana kurungan dalam putusan hakim dinyatakan dengan hari, minggu, bulan, dan tahun; tidak boleh dengan pecahan.",tidak-diketahui
,BAB II,Pasal 28,Pidana penjara dan pidana kurungan dapat dilaksanakan di satu tempat asal saja terpisah.,pelanggaran perlindungan anak
,BAB II,Pasal 29,"(1)  Hal menunjuk tempat untuk menjalani pidana penjara, pidana kurungan, atau kedua-duanya, begitu juga ha l mengatur dan mengurus tempat- tempat itu, hal membedakan orang terpidana dalam golongan-golongan, hal mengatur pemberian pengajaran, penyelenggaraan ibadat, hal tata tertib, hal tempat untuk tidur, hal makanan, dan pakaian, semuanya itu diatur dengan undang-undang sesuai dengan kitab undang-undang sesuai dengan kitab undang-undang ini. (2)  Jika perlu, Menteri Kehakiman menetepkan aturan rumah tangga untuk tempat-tempat orang terpidana.",pelanggaran properti
,BAB II,Pasal 30,"(1)  Pidana denda paling sedikit tiga rupiah tujuh puluh lima sen. (2)  Jika pidana denda tidak dibayar, ia diganti dengan pidana kurungan. (3)  Lamanya pidana kurungan pengganti paling sedikit satu hari dan paling lama enam bulan. (4)  Dalam putusan hakim, lamanya pidana kurungan pengganti ditetapkan demikian; jika pidana dendanya tujuh rupiah lima puluh dua sen atau kurungan, di hitung satu hari; jika le bih dari lima rupiah lima puluh sen, tiap-tiap tujuh rupiah lima puluh sen di hitung paling banyak satu hari demikian pula sisanya yang tidak cukup tujuh rupiah lima puluh sen. (5)  Jika ada pemberatan pida na denda disebabkan karena perbarengan atau pengulangan, atau karena ketentuan pasal 52, maka pidana kurungan pengganti paling lama delapan bulan. (6)  Pidana kurungan pengganti sekali-kali tidak boleh lebih dari delapan bulan.",tidak-diketahui
,BAB II,Pasal 31,"(1)  Terpidana dapat menjalani pidana kurungan pengganti tanpa menunggu batas waktu pembayaran denda. (2)  Ia selalu berwenang membebaskan dirinya dari pidana kurungan pengganti dengan membayar dendanya. (3)  Pembayaran sebagian dari pidana denda, baik sebelum maupun sesudah mulai menjalani pidana kurungan yang seimbang dengan bagian yang dibayarnya.  Biro Hukum dan Humas Badan Urusan Administrasi Mahkamah Agung-RI /g3/g3",tidak-diketahui
,BAB II,Pasal 32,"(1)  Pidana penjara dan pidana kurungan mulai berlaku bagi terpidana yang sudah di dalam tahanan sementara, pada hari ketika putusan hakim menjadi tetap, dan bagi terpidana lainnya pada hari ketika putusan hakim mulai dijalankan. (2)  jika dalam putusan hakim dijatuhkan pidana penjara dan pidana kurungan atas beberapa perbuatan pidana, dan kemudian putusan itu bagi kedua pidana tadi menjadi tetap pada waktu yang sama, sedangkan terpidana sudah ada dalam tahanan sementara karena kedua atau salah satu perbuatan pidana itu, maka pidana penjara mulai berlaku pada saat ketika putusan hakim menjadi tetap, dan pidana kurungan mulai berlaku setelah pidana penjara habis.",tidak-diketahui
,BAB II,Pasal 33,"(1)  Hakim dalam putusannya boleh menentukan bahwa waktu terpidana ada dalam tahanan sementara sebelum putusan menjadi tetap, seluruhnya atau sebagian di potong dari pidana penjara selama waktu tertentu dari pidana kurungan atau dari pidana denda yang dijatuhkan kepadanya; dalam hal pidana denda dengan memakai ukuran menurut pasal 31 ayat 3. (2)  Waktu selama seorang terdakwa dalam tahanan sementara yang tidak berdasarkan surat perintah, tidak dipotong dari pidananya, kecuali jika pemotongan itu dinyatakan khusus dalam putusan hakim. (3)  Ketentuan pasal ini berlaku juga dalam hal terdakwa oleh sebab dituntut bareng karena melakukan beberapa tindak pidana, kemudian dipidana karena perbuatan lain daripada yang didakwakan kepadanya waktu ditahan sementara.",tidak-diketahui
,BAB II,Pasal 33a,"Jika orang yang ditahan sementara di jatuhi pidana penjara atau pidana kurungan, dan kemudian dia sendiri at au orang lain dengan persetujuannya mengajukan permohonan ampun, waktu mu lai permohonan diajukan hingga ada putusan Presiden, tidak dihitung sebagai waktu menjalani pidana, kecuali jika Presiden, dengan mengingat keadaan pe rkaranya, menentukan bahwa waktu itu seluruhnya atau sebagian dihitung sebagai waktu menjalani pidana.",tidak-diketahui
,BAB II,Pasal 34,"Jika terpidana selama menjalani pidana melarikan diri, maka waktu selama di luar tempat menjalani pidana tidak dihitung sebagai waktu menjalani pidana.",tidak-diketahui
,BAB II,Pasal 35,"(1)  Hak-hak terpidana yang dengan putusan hakim dapat dicabut dalam hal-hal yang ditentukan dalam kitab undang-undang ini, atau dalam aturan umum lainnya ialah : 1. hak memegang jabatan pada umumnya atau jabatan yang tertentu; 2. hak memasuki Angkatan Bersenjata; Biro Hukum dan Humas Badan Urusan Administrasi Mahkamah Agung-RI /g3/g3  3. hak memilih dan dipilih dalam pemilihan yang diadakan berdasarkan aturan-aturan umum. 4. hak menjadi penasehat hukum atau pengurus atas penetapan pengadilan, hak menjadi wali, wali pengawas, pengampu atau pengampu pengawas, atas orang yang bukan anak sendiri; 5. hak menjalankan kekuasaan bapak, menjalankan perwalian atau pengampuan atas anak sendiri; 6. hak menjalankan mata pencarian tertentu. (2)  Hakim tidak berwenang memecat seorang pejabat dari jabatannya, jika dalam aturan-aturan khusus di tentukan penguasa lain untuk pemecatan itu.",pelanggaran perlindungan anak
,BAB II,Pasal 36,"Hak memegang jabatan pada umumnya atau jabatan tertentu dan hak memasuki Angkatan Bersenjata, kecual i dalam hal yang diterangkan dalam Buku Kedua, dapat di cabut dalam hal pemidanaan karena kejahatan jabatan atau kejahatan yang melanggar kewajiban khusus sesuatu jabatan, atau karena memakai kekuasaan, kesempatan atau sa rana yang diberikan pada terpidana karena jabatannya.",tidak-diketahui
,BAB II,Pasal 37,"(1) Kekuasaan bapak, kekuasaan wali, wali pengawas, pengampu, dan pengampu pengawas, baik atas anak sendiri maupun atas orang lain, dapat dicabut dalam hal pemidanaan: 1. orang tua atau wali yang dengan sengaja melakukan kejahatan bersama- sama dengan anak yang belum dewasa yang ada di bawah kekuasaannya; 2. orang tua atau wali terhadap an ak yang belum dewasa yang ada di bawah kekuasaannya, melakukan kejahatan, yang tersebut dalam bab XIII, XIV, XV, XVIII, XIX, dan XX Buku Kedua. (2) Pencabutan tersebut dalam ayat 1 tidak boleh dilakukan oleh hakim pidana terhadap orang-orang yang baginy a diterapkan undang-undang hukum perdata tentang pencabutan kekuasaan orang tua, kekuasaan wali dan kekuasaan pengampu.",pelanggaran perlindungan anak
,BAB II,Pasal 38,"(1) Jika dilakukan pencabutan hak, hakim menentukan lamanya pencabutan sebagai berikut: 1. dalam hal pidana mati atau pidana penjara seumur hidup, lamanya pencabutan seumur hidup; 2. dalam hal pidana penjara untuk wa ktu tertentu atau pidana kurungan, lamanya pencabutan paling sedikit dua tahun dan paling banyak lima tahun lebih lama dari pidana pokoknya; 3. dalam hal pidana denda, lamanya pencabutan paling sedikit dua tahun dan paling banyak lima tahun. (2) Pencabutan hak mulai berlaku pada hari putusan hakim dapat dijalankan.  Biro Hukum dan Humas Badan Urusan Administrasi Mahkamah Agung-RI /g3/g3",tidak-diketahui
,BAB II,Pasal 39,"(1) Barang-barang kepunyaan terpidana yang diperoleh dari kejahatan atau yang sengaja dipergunakan untuk melakukan kejahatan, dapat dirampas. (2) Dalam hal pemidanaan karena kejahatan yang tidak dilakukan dengan sengaja atau karena pelanggaran, dapat juga dijatuhkan putusan perampasan berdasarkan hal-hal yang ditentukan dalam undang-undang. (3) Perampasan dapat dilakukan terhadap orang yang bersalah yang diserahkan kepada pemerintah, tetapi hanya atas barang-barang yang telah disita.",tidak-diketahui
,BAB II,Pasal 40,"Jika seorang di bawah umur enam belas tahun mempunyai, memasukkan atau mengangkut barang-barang denga me langgar aturan-aturan mengenai pengawasan pelayaran di bagian-bagian Indonesia yang tertentu, atau aturan- aturan mengenai larangan memasukka n, mengeluarkan, dan meneruskan pengangkutan barang-barang, maka hakim dapat menjatuhkan pidana perampasan atas barang-barang itu, juga dalam hal yang bersalah diserahkan kembali kepada orang tuanya, waliny a atau pemeliharanya tanpa pidana apapun.",tidak-diketahui
,BAB II,Pasal 41,"(1) Perampasan atas barang-barang yang disita sebelumya, diganti menjadi pidana kurungan, apabila barang-barang itu tidak diserahkan, atau harganya menurut taksiran dalam putusan hakim, tidak di bayar. (2) Pidana kurungan pengganti ini paling sedikit satu hari dan paling lama enam bulan. (3) Lamanya pidana kurungan penggant i ini dalam putusan hakim ditentukan sebagai berikut : tujuh rupiah lima pu luh sen atau kurang di hitung satu hari; jika lebih dari tujuh rupiah lima puluh sen, tiap-tiap tujuh rupiah lima puluh sen dihitung paling banyak satu hari, demikian pula sisanya yang tidak cukup tujuh rupiah lima puluh sen. (4) Pasal 31 diterapkan bagi pidana kurungan pengganti ini. (5) Jika barang-barang yang dirampas diserahkan, pidana kurungan pengganti ini juga di hapus.",tidak-diketahui
,BAB II,Pasal 42,"Segala biaya untuk pidana penjara dan pidana kurungan dipikul oleh negara, dan segala pendapatan dari pidana denda dan perampasan menjadi milik negara.",tidak-diketahui
,BAB III,Pasal 43,"Apabila hakim memerintahkan supaya putusan diumumkan berdasarkan kitab undang-undang ini atau aturan-aturan umum lainnya, maka ia harus menetapkan pula bagaimana cara melaksanakan perintah itu atas biaya terpidana.  Biro Hukum dan Humas Badan Urusan Administrasi Mahkamah Agung-RI /g3/g3       HAL-HAL YANG MENGHAPUSKAN, ME NGURANGI ATAU MEMBERATKAN MEMBERATKAN PIDANA",pelanggaran perlindungan anak
